NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      57 0857,75,San Diego,San Diego,'SAN DIEGO BAY  HARBOR D,'STATE ROUTE 75,'11-SD-075-R20.49-SD,1969,0,2263,83,Steel,Orthotropic,,"Principal Arterial - Other Freeways, Urban",62270
      57 0858,,San Diego,San Diego,'STATE ROUTE 163,'BALBOA AVE,'11-SD-163-8.01-SD,1975,0,109,90.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Functionally Obsolete,"Local, Urban",62271
      57 0860L,54,Chula Vista,San Diego,'UPPER PARADISE CREEK,'STATE ROUTE 54,'11-SD-054-1.28L-CHV,1990,0,9,85,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Other Freeways, Urban",62272
      57 0862,S162,Chula Vista,San Diego,'I 805  ON & OFF-RAMP,'H STREET,'11-SD-805-7.16-CHV,1975,0,103,92.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62273
      57 0863,S272,La Mesa,San Diego,'INTERSTATE 8,'BALTIMORE DR,'11-SD-008-10.78-LMSA,1973,0,138,88.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62274
      57 0865M,805,Chula Vista,San Diego,'TELEGRAPH CANYON DRAIN,'INTERSTATE 805,'11-SD-805-6.12-CHV,1971,0,8,83,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Urban",62275
      57 0866K,15,San Diego,San Diego,'CHOLLAS CREEK,'OCEANVIEW-S15 ONR,'11-SD-015-R0.68-SD,1978,0,20,96.6,Concrete,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62276
      57 0867K,15,San Diego,San Diego,'CHOLLAS CREEK,'S15-OCEANVIEW OFF,'11-SD-015-R0.70-SD,1978,0,31,97.7,Concrete,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62277
      57 0872,76,Escondido,San Diego,'INTERSTATE 15,'STATE ROUTE 76,'11-SD-076-R17.26-ESD,1981,2013,129,98.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Rural",62282
      57 0876K,S450,San Diego,San Diego,'E ST-S5 ON RAMP,'17TH STREET,'11-SD-005-R15.11-SD,1928,0,25,81,Concrete continuous,Tee Beam,Functionally Obsolete,"Local, Urban",62284
      57 0877,S329,San Diego,San Diego,'ROUTE 15,'AERO DRIVE,'11-SD-015-R8.37-SD,1981,0,94,97,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62285
      57 0878L,,San Diego,San Diego,'RTE 15,'BALBOA AVE,'11-SD-015-R9.25-SD,1982,0,93,98,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62286
      57 0878R,,San Diego,San Diego,'RTE 15,'BALBOA AVE,'11-SD-015-R9.23-SD,1982,0,93,98,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62287
      57 0879G,15,San Diego,San Diego,'I-15 BALBOA MURPHY CYN,'N15-BALBOA WB OFF,'11-SD-015-R9.27-SD,1982,0,511,95.9,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62288
      57 0880G,15,San Diego,San Diego,'MURPHY CANYON ROAD,'BALBOA AVE-S15 ON,'11-SD-015-R9.22-SD,1982,0,38,95.3,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62289
      57 0880L,,San Diego,San Diego,'MURPHY CANYON RD,'BALBOA AVE WB,'11-SD-000-0.00-SD,1982,0,38,95,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62290
      57 0880R,,San Diego,San Diego,'MURPHY CANYON RD,'BALBOA AVE EB,'11-SD-000-0.00-SD,1982,0,38,95,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62291
      57 0882G,15,San Diego,San Diego,'I-15  I-8  RAMP & LOCAL,'N15-W8 CONNECTOR,'11-SD-015-R6.01-SD,1986,0,425,95.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62292
      57 0883,15,San Diego,San Diego,'CAMINO DEL RIO SOUTH,'INTERSTATE 15,'11-SD-015-R6.03-SD,1986,0,42,83,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62293
      57 0883G,8,San Diego,San Diego,'CAMINO DEL RIO SOUTH,'E8-S15 CONNECTOR,'11-SD-008-5.62-SD,1986,0,72,97.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62294
      57 0884F,15,San Diego,San Diego,'I 15 & I 8,'S15-E8 CONNECTOR,'11-SD-015-R6.06-SD,1984,0,949,73.4,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",62295
      57 0885K,15,San Diego,San Diego,'I 8 & CONNECTOR RMPS,'S15-CAMINO DEL RI,'11-SD-015-R6.12-SD,1986,0,208,99.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62296
      57 0886G,15,San Diego,San Diego,'CAMINO DEL RIO SO  RAMP,'N15-E8 CONNECTOR,'11-SD-015-R6.00-SD,1986,0,191,98.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62297
      57 0887F,8,San Diego,San Diego,'FAIRMOUNT AVE-W8 ON-RAM,'W8-N15 CONNECTOR,'11-SD-008-5.79-SD,1984,0,46,90.4,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62298
      57 0888K,8,San Diego,San Diego,'ALVARADO CANYON RD EB,'W8-FAIRMOUNT OFF,'11-SD-008-6.36-SD,1979,0,19,92.4,Prestressed concrete *,Slab,,"Principal Arterial - Interstate, Urban",62299
      57 0892L,15,Escondido,San Diego,'NUTMEG STREET,'INTERSTATE 15 SB,'11-SD-015-R34.22-ESD,1978,0,52,91.1,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62305
      57 0892R,15,Escondido,San Diego,'NUTMEG STREET,'INTERSTATE 15 NB,'11-SD-015-R34.22-ESD,1978,0,49,86.8,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62306
      57 0900Y,52,San Diego,San Diego,'SAN CLEMENTE CREEK,'E52-GENESEE OFF&O,'11-SD-052-2.50-SD,1970,0,145,96.6,Concrete continuous,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62317
      57 0902,,San Diego,San Diego,'ROUTE 163 S163-KEARNY V,'KEARNY VILLA ROAD,'11-SD-163-R10.84-SD,1982,0,102,95.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62318
      57 0903R,163,San Diego,San Diego,'INTERSTATE 15,'STATE ROUTE 163,'11-SD-163-R11.13-SD,1982,0,135,88.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62319
      57 0907,,San Diego,San Diego,'INTERSTATE 15 & HOV,'MIRAMAR WAY,'11-SD-015-M13.33-SD,1982,1989,136,97.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62320
      57 0909,,San Diego,San Diego,'I-15  RAMPS  HOV,'POMERADO ROAD,'11-SD-015-M14.29-SD,1982,2011,110,97.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62321
      57 0910,15,Escondido,San Diego,'S15-CENTRE CITY PKWY OF,'INTERSTATE RTE 15,'11-SD-015-R33.92-ESD,1978,0,24,85,Concrete,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62322
      57 0911S,15,Escondido,San Diego,'N15 - CENTRE CITY PKWY,'WY-N15,'11-SD-015-R33.94-ESD,1978,0,85,95.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62323
      57 0912G,75,San Diego,San Diego,'I 5  CONNS  STREETS,'E75-N5 CONNECTOR,'11-SD-075-R21.97-SD,1969,0,695,77.7,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",62324
      57 0916,78,Escondido,San Diego,'GUEJITO CREEK,'STATE ROUTE 78,'11-SD-078-R26.79-ESD,1979,0,48,97.9,Concrete continuous,Box Beam or Girders - Multiple,,"Minor Arterial, Rural",62325
      57 0917K,8,San Diego,San Diego,'PEDESTRIAN WALKWAY,'SB MORENA-W8 ONRM,'11-SD-008-R0.35-SD,1969,0,45,98.1,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",62326
      57 0918K,8,San Diego,San Diego,'PEDESTRIAN WALKWAY,'W8-NB MORENA OFFR,'11-SD-008-R0.38-SD,1969,0,60,92.2,Steel,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",62327
      57 0919,,San Diego,San Diego,'I 15,'CLAIRMONT MESA BL,'11-SD-015-R10.00-SD,1985,0,92,97.4,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62328
      57 0920,S327,San Diego,San Diego,'INTERSTATE 8,'MISSION CENTER RD,'11-SD-008-3.04-SD,1978,0,95,95.4,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62329
      57 0921F,52,San Diego,San Diego,'SAN CLEMENTE CREEK,'W52-N&S805 CONNCT,'11-SD-052-3.89-SD,1987,0,55,93.2,Prestressed concrete *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62330
      57 0921L,52,San Diego,San Diego,'SAN CLEMENTE CREEK,'STATE ROUTE  52 W,'11-SD-052-3.87-SD,1987,0,41,90.1,Prestressed concrete *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62331
      57 0921R,52,San Diego,San Diego,'SAN CLEMENTE CREEK,'STATE ROUTE 52 EB,'11-SD-052-3.85-SD,1987,0,41,95.4,Prestressed concrete *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62332
      57 0927,,San Diego,San Diego,'STATE ROUTE 52 & RAMPS,'KEARNY VILLA ROAD,'11-SD-052-6.98-SD,1988,0,134,99,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Minor Arterial, Urban",62336
      57 0930L,15,San Diego,San Diego,'CAMINO DEL NORTE,'INTERSTATE 15 SB,'11-SD-015-M21.92-SD,1982,2007,61,98,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62337
      57 0930R,15,San Diego,San Diego,'CAMINO DEL NORTE,'INTERSTATE 15 NB,'11-SD-015-M21.92-SD,1982,2007,58,98,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62338
      57 0934,78,Escondido,San Diego,'ESCONDIDO CREEK,'STATE ROUTE 78,'11-SD-078-T19.19-ESD,1970,0,21,97.9,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62341
      57 0935,,San Diego,San Diego,'ROUTE 15,'AMMO ROAD,'11-SD-015-M12.96-SD,1982,1989,116,96.9,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62342
      57 0938G,8,El Cajon,San Diego,'I 8 & SR 67  CONNECTORS,'E8-N67 CONNECTOR,'11-SD-008-15.62-ECJ,1985,0,509,96.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62346
      57 0939H,5,San Diego,San Diego,'CESAR LOGAN NATIONAL NE,'S5-S75 CONNECTOR,'11-SD-005-R14.16-SD,1969,0,719,67.7,Prestressed concrete *,Stringer/Multi-beam or Girder,,"Principal Arterial - Interstate, Urban",62347
      57 0940,,San Diego,San Diego,'ROUTE 15,'H AVENUE,'11-SD-015-M11.46-SD,1985,0,122,100,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62348
      57 0941,,Escondido,San Diego,'INTERSTATE 15 W/HOV,'DEL LAGOBEETHOVEN,'11-SD-015-M27.27-ESD,1985,0,83,97.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Local, Urban",62349
      57 0942F,8,El Cajon,San Diego,'FORESTER CREEK,'W8-N67 CONNECTOR,'11-SD-008-15.85-ECJ,1966,0,18,97.8,Concrete,Culvert (includes frame culverts),,"Principal Arterial - Interstate, Urban",62350
      57 0943H,56,San Diego,San Diego,'I 15 SB,'S15&56-S15 HOV CO,'11-SD-056-8.92-SD,1986,0,119,95.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62351
      57 0946F,5,National City,San Diego,'I 5  SWEETWATER MTDB LR,'S5-E54 CONNECTOR,'11-SD-005-9.40-NATC,1988,0,444,89.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62353
      57 0947G,78,Escondido,San Diego,'MISSION AVE,'E78-S15 CONNECTOR,'11-SD-078-R16.49-ESD,1977,0,59,93.9,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62354
      57 0948G,54,Chula Vista,San Diego,'SWEETWATER RIVER,'E54-S805 CONNECTO,'11-SD-054-1.89-CHV,1975,0,140,97.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62355
      57 0950L,125,La Mesa,San Diego,'I 8 & CONNECTORS,'STATE ROUTE 125 S,'11-SD-125-R15.35-LMSA,1993,0,165,87.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Structurally Deficient,"Principal Arterial - Other Freeways, Urban",62357
      57 0950R,125,La Mesa,San Diego,'INTERSTATE 8 & RAMPS,'STATE ROUTE 125 N,'11-SD-125-R15.35-LMSA,1990,0,165,84.9,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Structurally Deficient,"Principal Arterial - Other Freeways, Urban",62358
      57 0951G,8,La Mesa,San Diego,'LA MESA BL & S125-GRSMN,'E8-S125 CONNECTOR,'11-SD-008-11.94-LMSA,1990,0,481,97,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62359
      57 0952F,8,La Mesa,San Diego,'I 8 & SR 125  & CONNS,'W8-S125 CONNECTOR,'11-SD-008-12.32-LMSA,1989,0,425,92.4,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62360
      57 0953,8,La Mesa,San Diego,'LA MESA BLVD,'INTERSTATE 8,'11-SD-008-12.12-LMSA,1989,0,38,83,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62361
      57 0953G,125,La Mesa,San Diego,'LA MESA BL & W8-LA MESA,'N125-W8 CONNECTOR,'11-SD-125-R15.43-LMSA,1989,0,116,98.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62362
      57 0953S,8,La Mesa,San Diego,'LA MESA BLVD,'E8-SEVERIN DR OFF,'11-SD-008-12.12-LMSA,1989,0,37,95.1,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62363
      57 0954G,125,La Mesa,San Diego,'E8-SEVERIN OFF & LA MES,'N125-E8 CONNECTOR,'11-SD-125-R15.46-LMSA,1990,0,119,97.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62364
      57 0955,S151,La Mesa,San Diego,'INTERSTATE 8,'SEVERIN DR,'11-SD-008-12.65-LMSA,1989,0,87,92.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62365
      57 0956S,8,El Cajon,San Diego,'CHASE AVE,'E8-EL CAJON BL OF,'11-SD-008-13.77-ECJ,1986,0,81,95.5,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62366
      57 0957L,76,Escondido,San Diego,'OLD RIV RD  SAN LUIS RE,'STATE ROUTE 76,'11-SD-076-R9.62-ESD,1990,0,405,91.5,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62367
      57 0961F,15,San Diego,San Diego,'RTE 15-SB & RTE 163-SB,'S15 &S163 CON SEP,'11-SD-015-M11.97-SD,1986,0,190,97.9,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62370
      57 0963F,52,San Diego,San Diego,'SR 52 SR 163 15-W52 CON,'W52-S163 CONNECTO,'11-SD-052-6.81-SD,1988,0,460,93.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62372
      57 0965S,52,San Diego,San Diego,'E52-N&S15 CONNECTOR RAM,'KEARNY VILLA-E52,'11-SD-052-6.99-SD,1988,0,84,94.5,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62374
      57 0966L,52,San Diego,San Diego,'INTERSTATE 15  RAMPS,'STATE ROUTE 52 WB,'11-SD-052-7.33-SD,1988,0,129,91.7,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62375
      57 0966R,52,San Diego,San Diego,'INTERSTATE 15  RAMPS,'STATE ROUTE 52 EB,'11-SD-052-7.33-SD,1988,0,126,89.6,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62376
      57 0968G,52,San Diego,San Diego,'S15-E52  15  52  N15-W5,'E52-N15 CONNECTOR,'11-SD-052-7.24-SD,1988,0,408,98.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62378
      57 0969S,125,La Mesa,San Diego,'N125-E8 CONNECTOR RAMP,'GROSSMONT BL-N125,'11-SD-125-R15.21-LMSA,1993,0,147,96.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Structurally Deficient,"Principal Arterial - Other Freeways, Urban",62379
      57 0970F,125,La Mesa,San Diego,'I 8  CONN  RAMPS,'S125-E8 CONNECTOR,'11-SD-125-R15.38-LMSA,1993,0,387,95.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",62380
      57 0971F,125,La Mesa,San Diego,'MURRAY DRIVE,'S125-E&W8 CONNECT,'11-SD-125-R15.56-LMSA,1993,0,41,97.8,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62381
      57 0971L,125,La Mesa,San Diego,'MURRAY DRIVE,'STATE ROUTE 125,'11-SD-125-R15.56-LMSA,1993,0,42,93.9,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62382
      57 0971R,125,La Mesa,San Diego,'MURRAY DRIVE,'STATE ROUTE 125,'11-SD-125-R15.56-LMSA,1990,0,39,93.9,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62383
      57 0972L,125,La Mesa,San Diego,'FLETCHER PKWY & LRT,'STATE ROUTE 125 S,'11-SD-125-18.42-LMSA,2001,0,207,97.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62384
      57 0972R,125,La Mesa,San Diego,'FLETCHER PKWY & LRT,'ROUTE 125 NB,'11-SD-125-18.42-LMSA,1993,0,200,97.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62385
      57 0973G,8,La Mesa,San Diego,'I 8 & SR 125  & CONNS,'E8-N125 CONNECTOR,'11-SD-008-11.96-LMSA,1993,0,431,90.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62386
      57 0974F,8,La Mesa,San Diego,'N125-W8 & SEVERIN DR-W8,'W8-N125 CONNECTOR,'11-SD-008-12.40-LMSA,1992,0,127,95.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62387
      57 0975F,125,La Mesa,San Diego,'GROSSMONT CENTER DRIVE,'S125-W8 CONNECTOR,'11-SD-125-R15.47-LMSA,1993,0,48,97.5,Prestressed concrete *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62388
      57 0979S,94,San Diego,San Diego,'I 15  N15-E92  CHOLLAS,'E94-HOME AV OFFRM,'11-SD-094-3.13-SD,1990,0,293,97.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62390
      57 0980S,163,San Diego,San Diego,'SAN DIEGO RI W8-N163 CA,'SR 163,'11-SD-163-3.94-SD,1989,0,182,96.1,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62391
      57 0981L,52,San Diego,San Diego,'OAK CANYON,'STATE ROUTE 52 WB,'11-SD-052-11.80-SD,1993,0,220,92.7,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62392
      57 0981R,52,San Diego,San Diego,'OAK CANYON,'STATE ROUTE 52 EB,'11-SD-052-11.80-SD,1993,0,220,72.9,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",62393
      57 0982L,52,San Diego,San Diego,'SPRING CANYON,'STATE ROUTE 52 WB,'11-SD-052-12.40-SD,1993,0,238,88.5,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62394
      57 0982R,52,San Diego,San Diego,'SPRING CANYON,'STATE ROUTE 52 EB,'11-SD-052-12.40-SD,1993,0,238,67.6,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,Functionally Obsolete,"Principal Arterial - Other Freeways, Urban",62395
      57 0983L,52,Santee,San Diego,'MAST BL  SAN DIEGO RIVE,'STATE ROUTE 52 WB,'11-SD-052-13.80-SNT,1993,0,633,85.4,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62396
      57 0983R,52,Santee,San Diego,'MAST BL  SAN DIEGO RIVE,'STATE ROUTE 52 EB,'11-SD-052-13.80-SNT,1993,0,548,85.4,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62397
      57 0985,,La Mesa,San Diego,'ROUTE 125,'WAKARUSA STREET,'11-SD-125-18.33-LMSA,1992,0,83,95.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Collector, Urban",62399
      57 0986F,8,San Diego,San Diego,'I 8 & SR 163  & CONNS,'W8-S163 CONNECTOR,'11-SD-008-2.36-SD,1991,0,342,93.3,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62400
      57 0988H,8,La Mesa,San Diego,'N125-W8 CONN & MURRAY D,'E&W8-N125 CONNECT,'11-SD-008-12.30-LMSA,1992,0,98,94.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62401
      57 0989F,56,San Diego,San Diego,'I 5  SORRENTO VLY CARME,'W56-S5 CONN RAMP,'11-SD-056-0.01-SD,1998,0,801,97.9,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62402
      57 0990G,5,San Diego,San Diego,'CARMEL VALLEY RD EB,'N5-E56 CONNECTOR,'11-SD-005-R32.87-SD,1998,0,161,89,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62403
      57 0991S,5,San Diego,San Diego,'CARMEL VALLEY RD,'CARMEL MTN-N5 ON,'11-SD-005-R32.88-SD,1998,0,172,95.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Interstate, Urban",62404
      57 0994,,San Diego,San Diego,'INTERSTATE 15 & RAMPS,'WIGHTMAN ST,'11-SD-015-M4.53-SD,1995,0,75,95,Prestressed concrete continuous *,Box Beam or Girders - Multiple,Functionally Obsolete,"Collector, Urban",62405
      57 0995,,San Diego,San Diego,'INTERSTATE 15,'UNIVERSITY AVE,'11-SD-015-M4.66-SD,1999,0,65,95.4,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62406
      57 0996,,San Diego,San Diego,'INTERSTATE 15,'ORANGE AVENUE,'11-SD-015-M4.91-SD,2001,0,84,99.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62407
      57 0997,,San Diego,San Diego,'INTERSTATE 15,'EL CAJON BLVD,'11-SD-015-M5.04-SD,1999,0,65,91.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other, Urban",62408
      57 0998,,San Diego,San Diego,'INTERSTATE 15,'MEADE AVE,'11-SD-015-M5.17-SD,1999,0,77,94.2,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62409
      57 1000,,San Diego,San Diego,'STATE ROUTE 52,'SANTO ROAD,'11-SD-052-8.70-SD,1993,0,77,98.1,Prestressed concrete continuous *,Box Beam or Girders - Single or Spread,,"Minor Arterial, Urban",62410
      57 1001,,National City,San Diego,'ROUTE 54,'REO DRIVE,'11-SD-054-3.00-NATC,1993,0,74,95.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62411
      57 1002,,National City,San Diego,'ROUTE 54,'WOODMAN STREET,'11-SD-054-4.21-NATC,1996,0,66,97.6,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Minor Arterial, Urban",62412
      57 1003,,National City,San Diego,'STATE ROUTE 54,'BRIARWOOD ROAD,'11-SD-054-5.00-NATC,1996,0,76,97.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Collector, Urban",62413
      57 1004L,56,San Diego,San Diego,'EL CAMINO REAL,'STATE ROUTE 56 WB,'11-SD-056-0.33-SD,1998,0,57,97.9,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62414
      57 1004R,56,San Diego,San Diego,'EL CAMINO REAL,'STATE ROUTE 56 EB,'11-SD-056-0.33-SD,1998,0,57,96.3,Prestressed concrete *,Box Beam or Girders - Single or Spread,,"Principal Arterial - Other Freeways, Urban",62415
      57 1005,,San Diego,San Diego,'STATE ROUTE 56,'CARMEL VALLEY RD,'11-SD-056-0.82-SD,1994,0,88,97.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Collector, Urban",62416
      57 1006,,San Diego,San Diego,'STATE ROUTE 56,'CARMEL COUNTRY RD,'11-SD-056-1.81-SD,1994,0,82,99.6,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62417
      57 1007,,San Diego,San Diego,'STATE ROUTE 56,'BLACK MOUNTAIN RD,'11-SD-056-6.90-SD,2004,0,73,97.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Minor Arterial, Urban",62418
      57 1008,,San Diego,San Diego,'STATE ROUTE 56,'SALMON RIVER ROAD,'11-SD-056-7.30-SD,1993,0,85,97.7,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Collector, Urban",62419
      57 1009K,56,San Diego,San Diego,'RANCHO PENASQUITOS BLVD,'W56-RANCHO PENSQT,'11-SD-056-7.80-SD,1993,0,67,97.8,Prestressed concrete continuous *,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",62420
