NBI #,Route,Place,County,FeatureIntersected,FacilityCarried,Location,Built,Reconstructed,Length(m),Suff.Rat.,MaterialDesign,DesignConstruction,Status,FunctionalClass,View
      50 0210,99,Delano,Kern,'STATE ROUTE 99,'WOOLLOMES AVE,'06-KER-099-54.48-DLN,1955,,60,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625227
      50 0211,99,Delano,Kern,'STATE ROUTE 99,'ELEVENTH AVE,'06-KER-099-56.10-DLN,1955,,59,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625228
      50 0212,99,Delano,Kern,'SR 99,'SR 155 (GARCES HW,'06-KER-155-0.41-DLN,1955,,59,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625229
      50 0213,99,Delano,Kern,'STATE ROUTE 99,'CECIL AVE,'06-KER-099-56.54-DLN,1955,,59,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625230
      50 0215,99,Delano,Kern,'STATE ROUTE 99,'COUNTY LINE ROAD,'06-KER-099-57.58-DLN,1955,,68,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625231
      50 0223,99,McFarland,Kern,'STATE ROUTE 99,'SHERWOOD AVE,'06-KER-099-49.30-MCF,1963,,61,,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",625237
      50 0224,99,McFarland,Kern,'STATE ROUTE 99,'PEDESTRIAN WALKWA,'06-KER-099-49.66-MCF,1959,,189,,Steel continuous,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",625238
      50 0225,99,McFarland,Kern,'STATE ROUTE 99,'PERKINS AVE,'06-KER-099-49.95-MCF,1963,,72,,Prestressed concrete continuous *,Stringer/Multi-beam or Girder,,"Principal Arterial - Other Freeways, Urban",625239
      50 0355,58,Tehachapi,Kern,'STATE ROUTE 58,'MILL STREET,'06-KER-058-R91.67-THPI,1970,,55,,Concrete continuous,Box Beam or Girders - Multiple,,"Principal Arterial - Other Freeways, Urban",625330
      50C0032,,Delano,Kern,'HIGH STREET,'UP RR,'0.3 MI SOUTH OF MAIN ST.,1935,,30,,Steel,Girder and Floorbeam System,,"Minor Arterial, Urban",625382
